id;nome;youtube;phone;mail;web;facebook;twitter;descrizione;indirizzo;num_immagini;categoria;googlemap;citta;cap;provincia;servizi;altri_servizi;orari
11;ATMOSFERA RISTORANTE;;039 9162219;info@ristoranteatmosfera.it;www.ristoranteatmosfera.it;www.facebook.com/ristoranteatmosfera;;"Elegante e raffinato, Atmosfera è un posto unico dove perdersi tra i piaceri del gusto. Perfetto per ogni occasione, renderà indimenticabile ogni momento.
Giovane e appassionato, il nostro chef Antonio Pepe propone una cucina tradizionale con creatività e moderne contaminazioni.
 
Oltre ad un menu alla carta, due percorsi degustazione guideranno i nostri ospiti alla scoperta di nuovi sapori ed emozioni.
";Viale Elvezia, 4 c/o Helios Hotel;2;ristorante;https://maps.google.com/?daddr=45.592369,9.253585;Monza;20900;MB;Accesso Disabili,Accetta Bancomat/Carta di Credito/Ticket,Animali Ammessi,Aree per Gruppi,Parcheggio,WI-FI;Meeting aziendali;"Dal mercoledì al sabato 
dalle 19.00 alle 22.30
 
 
"
12;BIER HIMMEL;;0362/232328;info@bierhimmel.it;www.bierhimmel.it;www.facebook.com/pages/Bier-Himmel/101580096581495;;"Ristorante birreria bavarese: il vero bavarese in brianza.
Offriamo cucina bavarese e tirolese tipiche, cucine che esaltano la tradizione ma amano la contaminazione tra la cucina italiana e quella del nord europa iniziata nel mezzo del XVI° secolo in occasione dell'evento del Concilio di Trento.
La cucina del nostro locale  è una cucina di territorio e produciamo direttamente i primi piatti ed i dolci.
";via Cavour, 101;1;ristorante,birrifici;https://maps.google.com/?daddr=45.649951,9.211543;Seregno;20831;MB;Accesso Disabili,Accetta Bancomat/Carta di Credito/Ticket,Animali Ammessi,Aree per Gruppi,Parcheggio,WI-FI;Catering,organizzazione di feste varie e di feste di addio al celibato;"Da martedì a sabato 12 - 14.30  e 19 - 02
Domenica chiusura alle ore 24
"
13;CARROBIOLO BREWPUB;;039325100;pub@birradelcarrobiolo.it;www.birradelcarrobiolo.it;https://www.facebook.com/birradelcarrobiolo;;"Birrificio artigianale con birreria e piccola cucina; offre specialità  di carne e di pesce.
Un locale ampio e caratteristico in cui gustare le birre davvero a ""km zero"", direttamente dal produttore al consumatore. Per accompagnare le birre una linea originale di panini, hamburger e degli ""sfizzichini"" che ben si prestano all'abbinamento. La scelta è quella di lavorare con prodotti freschi e non surgelati e con piccoli fornitori-artigiani locali per il pane, la carne, i succhi di frutta, il cioccolato, il formaggio.
Inoltre si possono ordinare alcuni cocktail creati dalla casa ma sempre a base di birra!
 
";Piazza Indipendenza 1;3;ristorante,pub,birrifici;https://maps.google.com/?daddr=45.578719,9.269865;MONZA;20900;MB;Accesso Disabili,Accetta Bancomat/Carta di Credito/Ticket,Animali Ammessi,Aree per Gruppi,WI-FI;VISITE GUIDATE PER GRUPPI AL LABORATORIO DI PRODUZIONE DELLA BIRRA;"Da lunedì a giovedì: 12.00 - 15.00 e 18.30 - 01-00Venerdì: 12.00 - 15.00 e 18.30 - 02.00Sabato: 18.30 - 02.00Domenica: 18.30 - 01.00
"
14;CASA MIA;;0362 917727;casamia.besana@antigua.it;www.antigua.it;https://www.facebook.com/Antigua-Casamia-1567312730192711/;;"Buono, sano, green. In una parola: Casa Mia.Il target del ristorante si propone come un ambiente casalingo e familiare. Il ristorante è a disposizione del cliente per organizzare  ricevimenti, banchetti e feste di compleanno.
Il ristorante propone pasta e dolci fatti a mano. La cucina casalinga è la loro passione. 
";via A. De Gasperi, 31;2;ristorante;https://maps.google.com/?daddr=45.691933,9.283306;Besana Brianza;;MB;;;"Tutti i giorni
12.00 - 14.30  /  19.00 - 23.30
"
15;CATTANEO BISTROT;;039.743134‬;‪cattaneobistrot@gmail.com;;https://www.facebook.com/cattaneobistrot/;;"Ristorante, Pizzeria, Salumeria e Caffetteria.

Griglia a legna per carni selezionate alla brace, pizze con impasti a doppia lievitazione con farine macinate a pietra e farcite con i migliori prodotti Italiani. Piccola salumeria con salumi provenienti da piccoli produttori che lavorano come una volta, formaggi della Camera di Eros Buratti, uno dei più bravi affinato Italiani.
La cantina conta più di 50 etichette.
";via Vittorio Veneto, 1;3;ristorante,pizzerie,pub;https://maps.google.com/?daddr=45.543392,9.188148;Monza;;MB;;;
16;CIVICO 36 RISTORANTE PIZZERIA;; 338 1707648  ;;;https://www.facebook.com/civico36.it/;;" 
 
Photo Credits Ristorante Pinseria Civico 36
";Piazza Libertà, 36;1;ristorante,pizzerie;https://maps.google.com/?daddr=45.610542,9.240588;Lissone;;MB;;Consegna a domicilio;
17;COFEE & WINE RESTAURANT;;347 4226517 ;cofeewinerestaurant@gmail.com;;;;"Locale molto accogliente e riservato, con 45 posti a sedere. Offre il servizio di prima colazione, pranzo con cucina tavola fredda e tavola calda con menu fisso a 10 euro.
Servizio di caffetteria pomeridiana.
Dalle 18.00 in poi e’ aperto come enoteca con 25 etichette di vino al calice. Cucina stuzzicante con taglieri, primi piatti e secondi da enoteca. Cocktail bar e cene a tema.
E’ possibile prenotare eventi privati.
";via Luciano Manara, 16;2;ristorante,pub,enoteche;https://maps.google.com/?daddr=45.589057,9.262983;Monza;20900;MB;Accesso Disabili,Animali Ammessi,Aree per Gruppi,Parcheggio,WI-FI;Catering, compleanni, cerimonie, riunioni.;"Dal Lunedì alla Domenica dalle 07.00 alle 24.00
"
18;CONTROLUCE;;039 2878501 ;info@ristorantecontroluce.it ;www.ristorantecontroluce.it;www.facebook.com/controluce.brugherio?fref=ts;;"Il locale è poliedrico in quanto si suddivide in diverse ambientazioni: il ristorante pizzeria (Controluce Classic), il Controluce Business per i business lunch, il cocktail bar (Controluce American Bar), il Controluce Outdoor (la corte esterna per i periodi estivi) ed infine, per i pranzi domenicali il Controluce la domenica dei “grandi di domani” con personale dedicato a far giocare i più piccini, mentre i grandi si possono godere un pranzo in pieno relax.
Il nome del locale deriva dalla luce del locale, in quanto presso Controluce non esiste una luce diretta, bensì un’illuminazione intima e soffusa data dalla luce che entra ed esce attraverso le vetrate.
La cucina del ristorante è classica mediterranea con specialità di carne e di pesce, primi piatti di pasta fresca, focacce, e golosi dessert. Il menù cambia in base alle stagioni, in ricco e costante aggiornamento all’insegna della creatività ai quali si accompagna un’interessante ed ampia scelta di vini.
";Piazza Santa Caterina da Siena 1/4;2;ristorante,pizzerie,pub;https://maps.google.com/?daddr=45.554510,9.303500;Brugherio;20861;MB;Bar/Lounge;;"Aperto 7 giorni su 7
12.00 - 15.00 / 18.00 - 24.00
"
19;CORSO COMO 52 RESTAURANT;;02 9967002;corsocomo52@ashotels.it;www.corsocomo52.it;https://www.facebook.com/CorsoComo52;;"Corso Como 52 Restaurant è nuova location di design, nella splendida cornice di AS Hotel Limbiate Fiera, facile da raggiungere perché posizionata sulla Monza-Saronno, a Limbiate, nel cuore della Brianza. Offriamo proposte di qualità per business lunch, colazioni e cene di lavoro, eventi aziendali oltre a feste private, compleanni e cerimonie. 130 posti in sala con possibilità fino a 400 ospiti modulando gli spazi a disposizione, ampio parcheggio con 170 posti auto, anche al coperto. 
 
";Corso Como, 52;1;ristorante;https://maps.google.com/?daddr=45.605199,9.139336;Limbiate;20812;MB;Accesso Disabili,Accetta Bancomat/Carta di Credito/Ticket,Aree per Gruppi,Parcheggio,WI-FI;;"Lunedì - Venerdì: 12:30 / 14:30 |19:30 / 22:30
Sabato - Domenica: 19:30 / 22:30
 
"
20;DA BACCO OSTERIA GOURMET;;039 23 08 969;prenota@dabacco.it;http://www.dabacco.it/;https://www.facebook.com/dabacco.it/;;"Una calda ed accogliente atmosfera vi darà il benvenuto in questa piccola osteria dove cercheremo di farvi sentire come a casa vostra, offrendovi una cucina rispettosa delle stagioni e della tradizione culinaria del territorio, attenti nella ricerca di prodotti genuini.
In questo ambiente confortevole troverete una cantina essenziale ma ben strutturata con etichette ricercate, dall’ottimo rapporto qualità-prezzo.
Il conto onesto e magari un buon liquore casereccio o un più sofisticato distillato scelto dalla nostra piccola ma curata selezione, faranno da degna conclusione alla vostra serata.
Per i vostri mezzogiorni lavorativi, invece, dal lunedì al venerdì, offre un Business Lunch a prezzo fisso, con un menù che varia tutti i giorni.
Una scelta tra primi, secondi, contorni ed insalate con, a volte, qualche fuori menù per chi ha meno fretta di ritornare al lavoro.
 
 
";via Enrico da Monza, 26;2;ristorante;https://maps.google.com/?daddr=45.586108,9.285003;Monza;20900;MB;Accesso Disabili,Accetta Bancomat/Carta di Credito/Ticket;;"
Lunedì: 19:30 - 22:30

 



Martedì: 19:30 - 22:30

 



Mercoledì: 19:30 - 22:30

 



Giovedì: 19:30 - 22:30

 



Venerdì: 19:30 - 22:30

 



Sabato: 19:30 - 22:30

 


Domenica: Chiuso
 
"
21;DERBY GRILL;;039 39421; info@derbygrill.it;www.derbygrill.it;https://www.facebook.com/RistoranteDerbyGrill/;;"Il Derby Grill dell’Hotel de la Ville è segnalato dalle più autorevoli guide di settore tra i migliori ristoranti in Italia. Il suo chef, Fabio Silva, propone menu creativi che attingono alle tradizioni lombarde e regionali. In sala, la professionalità del restaurant manager Roberto Brioschi garantisce un servizio attento e una ricca carta vini. Accogliente ed elegante, ma anche casual, dispone inoltre di una terrazza affacciata sulla Villa Reale per suggestivi pranzi e cene nel periodo estivo.
";Viale Cesare Battisti, 1;3;ristorante;https://maps.google.com/?daddr=45.592650,9.271380;Monza;20900;MB;Accesso Disabili,Accetta Bancomat/Carta di Credito/Ticket,Aree per Gruppi,Parcheggio,WI-FI;Possibilità di pranzi e cene in sale private (da 8 a 50 persone), rinomato American Bar adiacente al ristorante, terrazza affacciata sulla Villa Reale per cene all’aperto nel periodo estivo;"Ristorante
venerdì e sabato: 19.00 - 21.30
Derby Bistrot
aperto tutti i giorni a pranzo e cena
"
22;ENOSTERIA LIPEN;;0362 919710;prenotazione@lipen.it;http://www.lipen.it/;;;"Il Ristorante Lipen è di carattere rustico, familiare ma nel contempo raffinato.
Ha una capienza di 120 coperti interni e tutte le sale sono climatizzate.
È gestito da Francesca e Corrado che curano con i loro chef la cucina di tipo tradizionale con alcuni piatti particolari come la carne dei migliori pascoli europei ed il pesce.
Gli chef riescono a dare un tocco di genuina qualità alle loro creazioni ed alle loro ricette tipiche. Vi è anche una preparazione di dolci rigorosamente fatti in casa dal Pasticcere.
Nel nostro ristorante abbiamo una vasta scelta di birre provenienti da tutte le regioni italiane e da varie parti del mondo.
In tutte le stagioni lo staff del Ristorante Lipen propone ""Le Serate Speciali"" incontrando il favore dell'ormai affezionata clientela.
Si organizzano rinfreschi per battesimi anche con sala privata su prenotazione.
 
Photo credits Lipen
";Via Taverna, 114;1;ristorante,pizzerie;https://maps.google.com/?daddr=45.660139,9.290061;Triuggio; 20844;MB;Accetta Bancomat/Carta di Credito/Ticket;;"Chiuso lunedì e martedì 
Aperto i restanti giorni
12.00 - 14.30  /  19.00 - 24.00
 
"
23;F.LLI MARIANI PASTICCERIA RISTORANTE;;039 791922;info@marianipasticceria.it;www.pasticceriamariani.it;;;"La cucina raffinata e tipicamente italiana del ristorante si sposa con l’eleganza del luogo e con la professionalità e cortesia dello staff. Nel menù trovano posto piatti stagionali, con menu fisso paricolarmente convenienti o alla carta. Dall'antipasto al dolce, con portate anche decisamente strutturate di carne, pesce o vegetariane, ma anche piatti unici, come insalate miste taglieri di affettati e formaggi, o piu semplicemente panini, piadine e stuzzicheria assortita.
Il ristorante della Pasticceria Mariani è la scelta indovinata e di sicuro successo per cene intime, pranzi di rappresentanza, di lavoro o per festeggiare qualsiasi ricorrenza od occasione particolare.
 
 
Photo credits Mariani
";Piazza Matteotti, 7;1;ristorante,gastronomie;https://maps.google.com/?daddr=45.593383,9.229709;Muggiò;;MB;Accetta Bancomat/Carta di Credito/Ticket,Bar/Lounge;;"Lunedì: 07.30 - 15.00
Dal martedì alla domenica:  07.30 - 19.30 (orario continuato)
"
24;FASSONERIA;;039 632 2661;;http://www.fassoneria.it/;https://www.facebook.com/FassoneriaMonza/;;"Hamburgeria che serve carne proveniente da bovini di pura razza piemontese Fassona.
";Via Passerini 7;2;ristorante;https://maps.google.com/?daddr=45.582350,9.272815;Monza;20900;MB;;;"Dal lunedì al sabato:
12.00 - 15.00   
e dalle 18.00 per aperitivo o cena  
Chiuso la domenica
"
25;HOSTARIA DEL PUNT;;0362 997811 - 339 7316849;maurygiaco@libero.it ;www.hostariadelpunt.com;;;"Perché dall’Hostaria del Punt a Triuggio i protagonisti sono i sapori, declinati in mille appetitose sfumature. Diversi, originali, eppure sempre in grado di deliziare i palati grazie a una selezione attenta degli ingredienti.
Un locale che unisce, in una atmosfera calda e rilassante, i piatti della cucina toscana più schietta a proposte gastronomiche raffinate e interpretate con creatività.
 
 
Credits Hostaria del Punt
";Piazza Boretti, 3;2;ristorante;https://maps.google.com/?daddr=45.661757,9.268486;Triuggio;;MB;;Consegna a domicilio;"lunedì: 11.00 - 14.30 
martedì - giovedì 
11.00 - 14.30  /  18.00 - 23.30
venerdì - domenica
11.00 - 14.30  /  18.00 - 24.00
"
26;IL CORTILE DEI SAPORI;;+390362995984;info@ilcortiledeisapori.com;www.ilcortiledeisapori.com;https://www.facebook.com/Il-Cortile-Dei-Sapori-166608056688945/;;"Il Cortile dei Sapori accoglie la sua clientela in un luogo in cui si respira la tradizione: a partire dalla struttura del ristorante, situato all'interno di un'antica corte, fino all'arredamento e allo stile delle sale interne e del giardino chiuso esterno. Il fascino e l'atmosfera che sono state ricreati vi permetteranno di passare dei momenti indimenticabili circondati da un ambiente che racconta una storia, semplice ma elegante allo stesso tempo e gustando piatti della tradizione e della buona cucina.
";Via Luigi Viarana, 17/19;2;ristorante;https://maps.google.com/?daddr=45.700131,9.287216;Besana Brianza;;MB;;;"
Lunedì: 12:30 - 15:00

 



Martedì e mercoledì: 19:00 - 21:00

 



Giovedì: 19:00 - 22:30



 



Venerdì: 12:30 - 15:00  /  19:00 - 22:30

 



Sabato e domenica: 
12:30 - 15:00  /  19:30 - 22:30

 



 

"
27;IL FEUDO DEI SAPORI;;039 387423;;;www.facebook.com/Il-Feudo-dei-Sapori-122230971185163/;;"Situato vicino al Centro di Monza offre ai suoi clienti un ambiente caldo e informale, ma curato in ogni dettaglio. La simpatia e la professionalità del servizio in sala, ma soprattutto le creazioni dello chef, che a menù propone sia carne che pesce e piatti tipici, sapranno conquistarvi. 
";Via Antonio Gramsci, 17;2;ristorante;https://maps.google.com/?daddr=45.581232,9.271785;Monza;20900;MB;Accesso Disabili,Accetta Bancomat/Carta di Credito/Ticket,Animali Ammessi,Aree per Gruppi,Parcheggio,WI-FI;Pranzi e cene per gruppi in visita a Monza per un massimo di 55 partecipanti (un pullman) con menù scelto dal gruppo e riservando tutto il ristorante per loro. ;"Dalle 12.00 alle 14.30 | dalle 19.00 alle 22.30 
Chiuso sabato a pranzo e domenica a cena 
 
"
28;IL MORO RESTAURANT;;039 327899;info@ilmororistorante.it;www.ilmororistorante.it;https://www.facebook.com/Ristorante-Il-Moro-232156503474856/;;"In un ambiente sobrio ed elegante, lo chef propone piatti della cucina mediterranea ispirata al mare, utilizzando materie prime di ottima qualità. La carta dei vini comprende le migliori etichette del panorama vitivinicolo italiano.
";via Parravicini, 44;3;ristorante;https://maps.google.com/?daddr=45.582760,9.271102;Monza;;MB;;;"Pranzo: dalle ore 12:30 alle ore 14:30
Cena: dalle ore 20:00 alle ore 23:00
Chiusura settimanale: lunedì
"
29;IL PIZZICAGNOLO;;039 3900183;;;www.facebook.com/Pizzicagnolomonza?fref=ts;;"Situato nel centro storico di Monza adiacente all'Arengario, a due passi dal Duomo. La cucina offerta è raffinata e originale e non dimentica di attingere dalla ricca tradizione lombarda. Le materie prime sono tutte selezionate con cura e provengono dal territorio, nel pieno rispetto del ritmo della natura. I menù sono prevalentemente di carne e ottima presenza di vini conosciuti e da scoprire che lasciano a bocca aperta oltre alle ottime grappe.
";Vicolo Bellani, 1;2;ristorante;https://maps.google.com/?daddr=45.584780,9.275451;Monza;20900;MB;;;"Martedì e mercoledì
10.00 - 15.00 
Giovedì e venerdì
10.00 - 15.00 / 18.30 - 23.00
Sabato
10.00 - 15.00 / 19.00 - 23.45
Domenica
10.00 - 15.00 
Lunedì chiuso
"
30;IL POLLINO;;392 141119;info@ristoranteilpollino.it;www.ristoranteilpollino.it/;;;"Il Ristorante nasce nel 2006 e deve il suo nome al celebre Monte Pollino, situato tra Calabria e Basilicata.
Il richiamo geografico della denominazione è un doveroso e sentito omaggio ai piatti tipici della cucina meridionale, ricchi di semplicità e tradizione.
Gli ambienti accoglienti e ben curati nonché la marcata dedizione al cliente, tipica dell'ospitalità delle terre del Sud Italia, contribuiscono fortemente a rendere l'atmosfera piacevole e riservata.
Lo Chef Francesco Cetani vanta un'esperienza di oltre 40 anni e un curriculum di notevole rilievo. La sua cucina affonda le radici nella tradizione preservando la genuinità di piatti unici, sani e genuini.
";Viale Lombardia, 174;1;ristorante;https://maps.google.com/?daddr=45.572955,9.246436;Monza;20900;MB;;;"12.00 - 14,00 / 19.00 - 22.00
Sempre aperto a pranzoChiuso le sere di: lunedì,martedì,mercoledì e giovedì! ( eccetto prenotazioni )
"
31;IL VECCHIO COTONIFICIO;;391 7558229;vecchiocotonificioeco@gmail.com;;www.facebook.com/vecchiocotonificioeco;;"Enobistrò, Signature & Wine
 
Credits Il vecchio cotonificio
";Piazza Cesare Pavese, 5;1;ristorante;https://maps.google.com/?daddr=45.607101,9.302568;Villasanta;;MB;;;"da martedì a domenica
11.30 - 15.30  /  18.00 - 24.00
"
32;JOE SCARPETTA HOSTARIA;;039 2848034;info@joescarpetta.it;http://www.joescarpetta.it/;https://www.facebook.com/Joe-Scarpetta-110647675784248/;;"Joe Scarpetta ha quell’atmosfera famigliare e nostalgica che si respira nei tanti ristorantini italiani oltreoceano. Il bianco e il nero delle fotografie appese su tutte le mura, l’autenticità della tradizione che prende vita dai suoi piatti, il calore della condivisione di un momento unico in un ambiente fuori dal tempo.
E’ questo ciò che Joe Scarpetta vuole condividere con gli ospiti che giungono a casa sua per gustare una delle sue pietanze. Agli amanti della buona cucina italiana tradizionale non resta che varcare la soglia di Joe Scarpetta per scoprire le tante materie prime che Joe ha collezionato, guidato dalla sua grande passione per il viaggio alla scoperta del gusto. Un viaggio vero, che ha saputo donare magia nelle serate trascorse in quel di Little Italy tra vecchie stampe e sapori autentici.
 
 
";Via Giuseppe Ferrari, 2;4;ristorante,pizzerie;https://maps.google.com/?daddr=45.583442,9.273526;Monza;20900;MB;;;"12:00 - 14:30  /  19:00 - 22:30
Chiusure
Sabato a pranzo e domenica tutto il giorno
"
33;KANGAROO  RISTORANTE PIZZERIA;;039 669010;;www.kangarooweb.it;;;"Grazie all’intuizione di Tony e alla professionalità di Alessandro Bettonagli, scenografo di Bergamo, è nato il Kangaroo ristorante e pizzeria, un luogo che da 20 anni non smette di stupire. Entrare in questo locale è di per se un’esperienza: pareti e arredi curati nei minimi dettagli rendono questo locale unico nel suo genere…un vero e proprio tuffo nell’outback australiano nella verde brianza.
Da Kangaroo troverai pizze tra le migliori nella zona. Unico comune denominatore: la qualità degli ingredienti e la passione nel combinarli.
 
Photo credits Kangaroo Pizza & Restaurant
";Via Velasca, 21;1;ristorante,pizzerie;https://maps.google.com/?daddr=45.635073,9.351444;Vimercate;;MB;;;"da giovedì a domenica
19.00 - 1.00
"
